STA Awal,STA Akhir,Long,Lat,Segment
74260,74265,107.4838961,-6.44354265,Cikopo - Kalijati
74265,74270,107.4839391,-6.443556545,Cikopo - Kalijati
74270,74275,107.4839821,-6.44357044,Cikopo - Kalijati
74275,74280,107.484025,-6.443584335,Cikopo - Kalijati
74280,74285,107.484068,-6.443598229,Cikopo - Kalijati
74285,74290,107.484111,-6.443612124,Cikopo - Kalijati
74290,74295,107.484154,-6.443626019,Cikopo - Kalijati
74295,74300,107.484197,-6.443639914,Cikopo - Kalijati
74300,74305,107.48424,-6.443653809,Cikopo - Kalijati
74305,74310,107.484283,-6.443667703,Cikopo - Kalijati
74310,74315,107.484326,-6.443681598,Cikopo - Kalijati
74315,74320,107.4843689,-6.443695493,Cikopo - Kalijati
74320,74325,107.4844119,-6.443709388,Cikopo - Kalijati
74325,74330,107.4844549,-6.443723282,Cikopo - Kalijati
74330,74335,107.4844979,-6.443737177,Cikopo - Kalijati
74335,74340,107.4845409,-6.443751072,Cikopo - Kalijati
74340,74345,107.4845839,-6.443764966,Cikopo - Kalijati
74345,74350,107.4846269,-6.443778861,Cikopo - Kalijati
74350,74355,107.4846698,-6.443792756,Cikopo - Kalijati
74355,74360,107.4847128,-6.443806651,Cikopo - Kalijati
74360,74365,107.4847558,-6.443820545,Cikopo - Kalijati
74365,74370,107.4847988,-6.44383444,Cikopo - Kalijati
74370,74375,107.4848418,-6.443848335,Cikopo - Kalijati
74375,74380,107.4848848,-6.443862229,Cikopo - Kalijati
74380,74385,107.4849278,-6.443876124,Cikopo - Kalijati
74385,74390,107.4849708,-6.443890019,Cikopo - Kalijati
74390,74395,107.4850137,-6.443903913,Cikopo - Kalijati
74395,74400,107.4850567,-6.443917808,Cikopo - Kalijati
74400,74405,107.4850997,-6.443931708,Cikopo - Kalijati
74405,74410,107.4851419,-6.443947873,Cikopo - Kalijati
74410,74415,107.4851841,-6.443964039,Cikopo - Kalijati
74415,74420,107.4852263,-6.443980204,Cikopo - Kalijati
74420,74425,107.4852685,-6.443996369,Cikopo - Kalijati
74425,74430,107.4853106,-6.444012534,Cikopo - Kalijati
74430,74435,107.4853528,-6.4440287,Cikopo - Kalijati
74435,74440,107.485395,-6.444044865,Cikopo - Kalijati
